      Step     Time          Energy          fmax
FIRE:    9 23:50:48    -1093.580688        0.049123
      Step     Time          Energy          fmax
FIRE:    0 23:51:38    -1093.448853        0.097342
FIRE:    1 23:51:38    -1093.453369        0.095537
FIRE:    2 23:51:38    -1093.462280        0.091958
FIRE:    3 23:51:39    -1093.474854        0.086671
FIRE:    4 23:51:39    -1093.490234        0.079979
FIRE:    5 23:51:39    -1093.507202        0.072226
FIRE:    6 23:51:40    -1093.525024        0.064203
FIRE:    7 23:51:40    -1093.542725        0.056984
FIRE:    8 23:51:40    -1093.561401        0.051332
FIRE:    9 23:51:41    -1093.580688        0.049123
