      Step     Time          Energy          fmax
FIRE:   21 23:46:39    -1094.844849        0.483541
FIRE:   22 23:46:39    -1094.886475        0.586661
FIRE:   23 23:46:39    -1094.932251        0.682615
FIRE:   24 23:46:39    -1094.984375        0.692124
FIRE:   25 23:46:40    -1095.039429        0.608379
FIRE:   26 23:46:40    -1095.117920        0.559456
FIRE:   27 23:46:40    -1095.233521        0.770163
FIRE:   28 23:46:40    -1095.335449        1.570259
FIRE:   29 23:46:41    -1095.201050        2.796674
FIRE:   30 23:46:41    -1095.371094        1.327443
FIRE:   31 23:46:41    -1095.284790        3.256459
FIRE:   32 23:46:41    -1095.346069        2.567184
FIRE:   33 23:46:42    -1095.412109        0.936603
FIRE:   34 23:46:42    -1095.413330        1.026755
FIRE:   35 23:46:42    -1095.415527        0.951734
FIRE:   36 23:46:42    -1095.419556        0.803988
FIRE:   37 23:46:42    -1095.424438        0.590500
FIRE:   38 23:46:43    -1095.429199        0.447604
FIRE:   39 23:46:43    -1095.432739        0.401551
FIRE:   40 23:46:43    -1095.434937        0.355925
FIRE:   41 23:46:43    -1095.436279        0.479075
FIRE:   42 23:46:44    -1095.437988        0.634964
FIRE:   43 23:46:44    -1095.441162        0.676130
FIRE:   44 23:46:44    -1095.446533        0.573116
FIRE:   45 23:46:44    -1095.453247        0.315718
FIRE:   46 23:46:45    -1095.459351        0.259623
FIRE:   47 23:46:45    -1095.463623        0.373973
FIRE:   48 23:46:45    -1095.468262        0.491182
FIRE:   49 23:46:45    -1095.474976        0.315073
FIRE:   50 23:46:46    -1095.480591        0.124726
FIRE:   51 23:46:46    -1095.483521        0.441031
FIRE:   52 23:46:46    -1095.489624        0.338108
FIRE:   53 23:46:46    -1095.496704        0.270068
FIRE:   54 23:46:46    -1095.505737        0.415341
FIRE:   55 23:46:47    -1095.519531        0.243513
FIRE:   56 23:46:47    -1095.532104        0.305711
FIRE:   57 23:46:47    -1095.543091        0.422231
FIRE:   58 23:46:47    -1095.553711        0.276371
FIRE:   59 23:46:48    -1095.564087        0.220282
FIRE:   60 23:46:48    -1095.576660        0.151472
FIRE:   61 23:46:48    -1095.588745        0.145437
FIRE:   62 23:46:48    -1095.585693        1.049376
FIRE:   63 23:46:49    -1095.596069        0.328043
FIRE:   64 23:46:49    -1095.596680        0.234223
FIRE:   65 23:46:49    -1095.597412        0.125083
FIRE:   66 23:46:49    -1095.597778        0.145276
FIRE:   67 23:46:50    -1095.598145        0.205742
FIRE:   68 23:46:50    -1095.598755        0.212078
FIRE:   69 23:46:50    -1095.599731        0.121212
FIRE:   70 23:46:50    -1095.600464        0.034928
      Step     Time          Energy          fmax
FIRE:    0 23:47:41    -1093.448608        2.000614
FIRE:    1 23:47:41    -1093.505859        0.551184
FIRE:    2 23:47:41    -1093.509033        0.606686
FIRE:    3 23:47:42    -1093.515381        0.712049
FIRE:    4 23:47:42    -1093.526001        0.850094
FIRE:    5 23:47:42    -1093.542480        0.968712
FIRE:    6 23:47:43    -1093.566040        0.976650
FIRE:    7 23:47:43    -1093.594116        0.709695
FIRE:    8 23:47:44    -1093.615723        0.235725
FIRE:    9 23:47:44    -1093.620483        1.005733
FIRE:   10 23:47:44    -1093.623413        1.740509
FIRE:   11 23:47:45    -1093.665894        1.400842
FIRE:   12 23:47:45    -1093.727295        0.576361
FIRE:   13 23:47:45    -1093.764771        1.300798
FIRE:   14 23:47:46    -1093.821777        1.254968
FIRE:   15 23:47:46    -1093.899292        0.968355
FIRE:   16 23:47:47    -1093.967041        1.198851
FIRE:   17 23:47:47    -1094.051270        0.933700
FIRE:   18 23:47:47    -1094.024048        3.225019
FIRE:   19 23:47:48    -1094.127075        0.795222
FIRE:   20 23:47:48    -1094.084229        1.880113
FIRE:   21 23:47:49    -1094.102661        1.539584
FIRE:   22 23:47:49    -1094.127319        0.888549
FIRE:   23 23:47:49    -1094.140625        0.177319
FIRE:   24 23:47:50    -1094.134399        0.900780
FIRE:   25 23:47:50    -1094.135498        0.850942
FIRE:   26 23:47:51    -1094.137329        0.754247
FIRE:   27 23:47:51    -1094.139648        0.616628
FIRE:   28 23:47:52    -1094.142090        0.446891
FIRE:   29 23:47:52    -1094.144165        0.256776
FIRE:   30 23:47:52    -1094.145630        0.089696
FIRE:   31 23:47:53    -1094.146484        0.120248
FIRE:   32 23:47:53    -1094.146973        0.284369
FIRE:   33 23:47:54    -1094.147461        0.407971
FIRE:   34 23:47:54    -1094.148682        0.469948
FIRE:   35 23:47:54    -1094.151001        0.451631
FIRE:   36 23:47:55    -1094.154541        0.339940
FIRE:   37 23:47:55    -1094.158691        0.137237
FIRE:   38 23:47:56    -1094.162598        0.115182
FIRE:   39 23:47:56    -1094.166260        0.316652
FIRE:   40 23:47:56    -1094.171509        0.358864
FIRE:   41 23:47:57    -1094.179199        0.187490
FIRE:   42 23:47:57    -1094.187256        0.125898
FIRE:   43 23:47:58    -1094.195679        0.314890
FIRE:   44 23:47:58    -1094.207520        0.166645
FIRE:   45 23:47:59    -1094.219971        0.218614
FIRE:   46 23:47:59    -1094.234619        0.228796
FIRE:   47 23:47:59    -1094.251099        0.238227
FIRE:   48 23:48:00    -1094.269897        0.113047
FIRE:   49 23:48:00    -1094.288086        0.411253
FIRE:   50 23:48:00    -1094.307983        0.436045
FIRE:   51 23:48:01    -1094.327515        0.465519
FIRE:   52 23:48:01    -1094.341309        0.762717
FIRE:   53 23:48:02    -1094.326782        1.816542
FIRE:   54 23:48:02    -1094.365356        0.032454
      Step     Time          Energy          fmax
FIRE:    0 23:49:33    -1093.448608        0.097386
FIRE:    1 23:49:33    -1093.453247        0.095581
FIRE:    2 23:49:34    -1093.462158        0.092005
FIRE:    3 23:49:34    -1093.474731        0.086721
FIRE:    4 23:49:34    -1093.489990        0.079908
FIRE:    5 23:49:35    -1093.507080        0.072059
FIRE:    6 23:49:35    -1093.524902        0.063971
FIRE:    7 23:49:35    -1093.542603        0.056625
FIRE:    8 23:49:36    -1093.561157        0.050836
FIRE:    9 23:49:36    -1093.580566        0.048567
      Step     Time          Energy          fmax
FIRE:    0 23:50:48    -1093.448608        0.097386
FIRE:    1 23:50:48    -1093.453247        0.095581
FIRE:    2 23:50:49    -1093.462158        0.092005
FIRE:    3 23:50:49    -1093.474731        0.086721
FIRE:    4 23:50:49    -1093.489990        0.079908
FIRE:    5 23:50:50    -1093.507080        0.072059
FIRE:    6 23:50:50    -1093.524902        0.063971
FIRE:    7 23:50:50    -1093.542603        0.056625
FIRE:    8 23:50:51    -1093.561157        0.050836
FIRE:    9 23:50:51    -1093.580566        0.048567
      Step     Time          Energy          fmax
FIRE:    0 23:51:41    -1093.448608        0.097386
FIRE:    1 23:51:42    -1093.453247        0.095581
FIRE:    2 23:51:42    -1093.462158        0.092005
FIRE:    3 23:51:42    -1093.474731        0.086721
FIRE:    4 23:51:43    -1093.489990        0.079908
FIRE:    5 23:51:43    -1093.507080        0.072059
FIRE:    6 23:51:43    -1093.524902        0.063971
FIRE:    7 23:51:44    -1093.542603        0.056625
FIRE:    8 23:51:44    -1093.561157        0.050836
FIRE:    9 23:51:44    -1093.580566        0.048567
